id,playerID,season,gamesPlayed,gamesStarted,wins,losses,otLosses,goalsAgainst,goalsAgainstAvg,savePctg,shotsAgainst,shutouts,created_at,updated_at
39,8475883,20232024,16,16,13,2,0,28,1.840323,0.931707,410,3,2024-06-11 02:46:36 UTC,2024-06-11 02:46:36 UTC
40,8481611,20212022,3,2,3,0,0,6,2.422611,0.901639,61,0,2024-06-11 02:46:36 UTC,2024-06-11 02:46:36 UTC
41,8481611,20222023,24,23,12,7,5,57,2.436013,0.909091,627,4,2024-06-11 02:46:36 UTC,2024-06-11 02:46:36 UTC
42,8481611,20232024,42,40,23,13,4,92,2.327657,0.910766,1031,4,2024-06-11 02:46:36 UTC,2024-06-11 02:46:36 UTC
43,8477484,20212022,6,6,3,0,3,11,1.744417,0.949541,218,0,2024-06-11 02:46:36 UTC,2024-06-11 02:46:36 UTC
44,8477484,20222023,29,27,11,15,1,107,3.987124,0.871084,830,0,2024-06-11 02:46:36 UTC,2024-06-11 02:46:36 UTC
45,8477484,20232024,13,10,3,8,1,43,3.648104,0.886544,379,0,2024-06-11 02:46:36 UTC,2024-06-11 02:46:36 UTC
46,8477484,20232024,6,6,4,1,1,16,2.630137,0.896104,154,0,2024-06-11 02:46:36 UTC,2024-06-11 02:46:36 UTC
47,8477293,20192020,33,32,15,14,3,80,2.633167,0.921,1014,2,2024-06-11 02:46:37 UTC,2024-06-11 02:46:37 UTC
48,8477293,20202021,12,11,5,5,2,38,3.358704,0.905,401,0,2024-06-11 02:46:37 UTC,2024-06-11 02:46:37 UTC
49,8477293,20212022,28,26,15,5,4,62,2.452801,0.912181,706,2,2024-06-11 02:46:37 UTC,2024-06-11 02:46:37 UTC
50,8477293,20222023,27,26,19,3,3,58,2.229031,0.909938,644,4,2024-06-11 02:46:37 UTC,2024-06-11 02:46:37 UTC
51,8477293,20232024,24,20,12,7,2,63,2.987709,0.872211,493,1,2024-06-11 02:46:37 UTC,2024-06-11 02:46:37 UTC
52,8478007,20192020,33,31,13,9,8,71,2.346935,0.923,919,5,2024-06-11 02:46:43 UTC,2024-06-11 02:46:43 UTC
53,8478007,20202021,28,23,8,12,5,69,2.76587,0.916,825,2,2024-06-11 02:46:43 UTC,2024-06-11 02:46:43 UTC
54,8478007,20212022,59,56,27,23,7,178,3.216754,0.907292,1920,2,2024-06-11 02:46:43 UTC,2024-06-11 02:46:43 UTC
55,8478007,20222023,30,27,7,18,2,110,4.230227,0.876265,889,0,2024-06-11 02:46:43 UTC,2024-06-11 02:46:43 UTC
56,8478007,20232024,41,40,13,17,8,130,3.453365,0.897314,1266,1,2024-06-11 02:46:43 UTC,2024-06-11 02:46:43 UTC
57,8480193,20212022,4,3,0,2,0,7,2.402059,0.936937,111,0,2024-06-11 02:46:43 UTC,2024-06-11 02:46:43 UTC
58,8480193,20222023,17,16,4,11,1,57,3.912447,0.892045,528,0,2024-06-11 02:46:43 UTC,2024-06-11 02:46:43 UTC
59,8480193,20232024,24,23,8,11,3,73,3.18206,0.908291,796,0,2024-06-11 02:46:43 UTC,2024-06-11 02:46:43 UTC
60,8474593,20192020,43,43,23,16,4,117,2.750909,0.918,1420,2,2024-06-11 02:46:52 UTC,2024-06-11 02:46:52 UTC
61,8474593,20202021,43,43,22,19,2,111,2.676921,0.904,1161,3,2024-06-11 02:46:52 UTC,2024-06-11 02:46:52 UTC
62,8474593,20212022,63,63,37,15,9,137,2.224126,0.921893,1754,9,2024-06-11 02:46:52 UTC,2024-06-11 02:46:52 UTC
63,8474593,20222023,59,58,23,21,12,166,2.920108,0.892348,1542,1,2024-06-11 02:46:52 UTC,2024-06-11 02:46:52 UTC
64,8474593,20232024,48,48,23,23,2,131,2.77629,0.905004,1379,2,2024-06-11 02:46:52 UTC,2024-06-11 02:46:52 UTC
65,8478435,20202021,5,5,2,2,1,17,3.399245,0.886,149,0,2024-06-11 02:46:52 UTC,2024-06-11 02:46:52 UTC
66,8478435,20212022,23,19,13,6,2,57,2.751113,0.90625,608,2,2024-06-11 02:46:52 UTC,2024-06-11 02:46:52 UTC
67,8478435,20222023,27,23,14,6,5,72,2.911215,0.895052,667,0,2024-06-11 02:46:52 UTC,2024-06-11 02:46:52 UTC
68,8478435,20232024,20,19,8,9,2,68,3.615365,0.881533,574,0,2024-06-11 02:46:52 UTC,2024-06-11 02:46:52 UTC
69,8475852,20192020,40,38,21,16,2,104,2.688516,0.905,1091,3,2024-06-11 02:46:59 UTC,2024-06-11 02:46:59 UTC
70,8475852,20202021,12,12,6,2,3,23,2.056683,0.923,298,3,2024-06-11 02:46:59 UTC,2024-06-11 02:46:59 UTC
71,8475852,20212022,20,18,12,6,0,58,3.339357,0.888462,520,0,2024-06-11 02:46:59 UTC,2024-06-11 02:46:59 UTC
72,8475852,20222023,39,38,10,22,3,132,3.657917,0.894231,1248,0,2024-06-11 02:46:59 UTC,2024-06-11 02:46:59 UTC
73,8475852,20232024,56,53,18,31,4,160,3.045041,0.907773,1724,1,2024-06-11 02:46:59 UTC,2024-06-11 02:46:59 UTC
74,8482821,20212022,3,2,0,2,0,13,5.005883,0.863158,95,0,2024-06-11 02:47:00 UTC,2024-06-11 02:47:00 UTC
75,8482821,20222023,15,13,2,10,2,48,3.448138,0.89404,453,0,2024-06-11 02:47:00 UTC,2024-06-11 02:47:00 UTC
76,8482821,20232024,32,29,5,22,2,114,3.921269,0.880042,942,0,2024-06-11 02:47:00 UTC,2024-06-11 02:47:00 UTC
77,8481020,20212022,2,1,1,0,1,7,4.340338,0.862745,51,0,2024-06-11 02:47:10 UTC,2024-06-11 02:47:10 UTC
78,8481020,20222023,2,2,1,1,0,7,3.579545,0.854167,48,0,2024-06-11 02:47:10 UTC,2024-06-11 02:47:10 UTC
79,8481020,20232024,14,12,8,4,1,30,2.246957,0.927536,414,2,2024-06-11 02:47:10 UTC,2024-06-11 02:47:10 UTC
80,8480382,20192020,34,32,17,14,2,96,3.044478,0.91,1063,2,2024-06-11 02:47:11 UTC,2024-06-11 02:47:11 UTC
81,8480382,20202021,19,18,8,7,2,44,2.710658,0.905,465,2,2024-06-11 02:47:11 UTC,2024-06-11 02:47:11 UTC
82,8480382,20212022,33,28,15,10,2,85,2.920795,0.897837,832,2,2024-06-11 02:47:11 UTC,2024-06-11 02:47:11 UTC
83,8480382,20222023,62,62,40,16,6,156,2.529502,0.918592,1904,5,2024-06-11 02:47:11 UTC,2024-06-11 02:47:11 UTC
84,8480382,20232024,63,62,38,18,5,183,3.018183,0.897175,1770,2,2024-06-11 02:47:11 UTC,2024-06-11 02:47:11 UTC
85,8481031,20202021,3,1,0,1,0,9,4.153314,0.824,51,0,2024-06-11 02:47:12 UTC,2024-06-11 02:47:12 UTC
86,8481031,20212022,3,3,0,2,1,13,4.216216,0.875,104,0,2024-06-11 02:47:12 UTC,2024-06-11 02:47:12 UTC
87,8481031,20222023,7,7,4,3,0,28,3.980728,0.880342,234,0,2024-06-11 02:47:12 UTC,2024-06-11 02:47:12 UTC
88,8481031,20232024,11,8,4,3,1,26,3.156723,0.895161,248,0,2024-06-11 02:47:12 UTC,2024-06-11 02:47:12 UTC
89,8483575,20222023,3,3,1,2,0,10,3.389192,0.84375,64,0,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
90,8483575,20232024,1,1,1,0,0,0,0.0,1.0,23,1,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
91,8479979,20202021,29,24,11,8,7,63,2.356413,0.911,710,1,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
92,8479979,20212022,48,46,30,15,1,114,2.526222,0.91435,1331,1,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
93,8479979,20222023,62,61,37,11,11,144,2.370446,0.919482,1776,5,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
94,8479979,20232024,54,53,35,14,4,140,2.72322,0.905149,1476,3,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
95,8475809,20202021,16,15,3,8,3,46,3.107991,0.9,458,2,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
96,8475809,20212022,3,2,0,2,1,9,3.187094,0.88,75,0,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
